workpoint,pose,direction,kind,parameter,force_N,status,grip_only_force_N
low90,pitch+8,opening_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,pitch+8,opening_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,pitch+8,closing_normal_tangent,ground_mu,0.3,100.238156437457,OPTIMAL,
low90,pitch+8,closing_normal_tangent,ground_mu,1.0,117.57287784681621,OPTIMAL,
low90,pitch+8,closing_normal_tangent,arm_sim_cap_scale,0.1,75.4700271868721,OPTIMAL,
low90,pitch+8,closing_normal_tangent,arm_sim_cap_scale,0.2,117.57287784681621,OPTIMAL,
low90,pitch+8,closing_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,pitch+8,closing_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,pitch+8,closing_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,pitch+8,closing_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
low90,pitch+8,closing_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,pitch+8,closing_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,pitch+8,handle_axis,ground_mu,0.3,63.76737431416932,OPTIMAL,
low90,pitch+8,handle_axis,ground_mu,1.0,102.54380239889423,OPTIMAL,
low90,pitch+8,handle_axis,arm_sim_cap_scale,0.1,32.991989803995395,OPTIMAL,
low90,pitch+8,handle_axis,arm_sim_cap_scale,0.2,66.71806095314886,OPTIMAL,
low90,pitch+8,handle_axis,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,pitch+8,handle_axis,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,pitch+8,handle_axis,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,pitch+8,handle_axis,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
low90,pitch+8,handle_axis,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,pitch+8,handle_axis,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,pitch-8,press_down,ground_mu,0.3,163.2449078201294,OPTIMAL,
low90,pitch-8,press_down,ground_mu,1.0,163.2449078201294,OPTIMAL,
low90,pitch-8,press_down,arm_sim_cap_scale,0.1,38.643505949078396,OPTIMAL,
low90,pitch-8,press_down,arm_sim_cap_scale,0.2,63.379987352556036,OPTIMAL,
low90,pitch-8,press_down,pinch_mu_two45N,0.2,90.0,OPTIMAL,90.0
low90,pitch-8,press_down,pinch_mu_two45N,0.4,90.0,OPTIMAL,90.0
low90,pitch-8,press_down,pinch_mu_two45N,0.8,90.0,OPTIMAL,90.0
low90,pitch-8,press_down,pinch_mu_PD_q014,0.2,36.4,OPTIMAL,36.4
low90,pitch-8,press_down,pinch_mu_PD_q014,0.4,36.4,OPTIMAL,36.4
low90,pitch-8,press_down,pinch_mu_PD_q014,0.8,36.4,OPTIMAL,36.4
low90,pitch-8,opening_normal_tangent,ground_mu,0.3,107.84347280524342,OPTIMAL,
low90,pitch-8,opening_normal_tangent,ground_mu,1.0,137.74968088324343,OPTIMAL,
low90,pitch-8,opening_normal_tangent,arm_sim_cap_scale,0.1,40.227737324736985,OPTIMAL,
low90,pitch-8,opening_normal_tangent,arm_sim_cap_scale,0.2,105.50115272645824,OPTIMAL,
low90,pitch-8,opening_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,pitch-8,opening_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,pitch-8,opening_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,pitch-8,opening_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
low90,pitch-8,opening_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,pitch-8,opening_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,pitch-8,closing_normal_tangent,ground_mu,0.3,101.97409312791727,OPTIMAL,
low90,pitch-8,closing_normal_tangent,ground_mu,1.0,120.407860542437,OPTIMAL,
low90,pitch-8,closing_normal_tangent,arm_sim_cap_scale,0.1,46.56896864305617,OPTIMAL,
low90,pitch-8,closing_normal_tangent,arm_sim_cap_scale,0.2,120.407860542437,OPTIMAL,
low90,pitch-8,closing_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,pitch-8,closing_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,pitch-8,closing_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,pitch-8,closing_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
low90,pitch-8,closing_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,pitch-8,closing_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,pitch-8,handle_axis,ground_mu,0.3,63.28007191273358,OPTIMAL,
low90,pitch-8,handle_axis,ground_mu,1.0,103.52082737547393,OPTIMAL,
low90,pitch-8,handle_axis,arm_sim_cap_scale,0.1,25.609268593114674,OPTIMAL,
low90,pitch-8,handle_axis,arm_sim_cap_scale,0.2,50.376362039050164,OPTIMAL,
low90,pitch-8,handle_axis,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,pitch-8,handle_axis,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,pitch-8,handle_axis,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,pitch-8,handle_axis,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
low90,pitch-8,handle_axis,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,pitch-8,handle_axis,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
mid105,neutral,press_down,ground_mu,0.3,155.26621252202938,OPTIMAL,
mid105,neutral,press_down,ground_mu,1.0,155.26621252202938,OPTIMAL,
mid105,neutral,press_down,arm_sim_cap_scale,0.1,36.44673538450542,OPTIMAL,
mid105,neutral,press_down,arm_sim_cap_scale,0.2,60.57493367474804,OPTIMAL,
mid105,neutral,press_down,pinch_mu_two45N,0.2,90.0,OPTIMAL,90.0
mid105,neutral,press_down,pinch_mu_two45N,0.4,90.0,OPTIMAL,90.0
mid105,neutral,press_down,pinch_mu_two45N,0.8,90.0,OPTIMAL,90.0
mid105,neutral,press_down,pinch_mu_PD_q014,0.2,36.4,OPTIMAL,36.4
mid105,neutral,press_down,pinch_mu_PD_q014,0.4,36.4,OPTIMAL,36.4
mid105,neutral,press_down,pinch_mu_PD_q014,0.8,36.4,OPTIMAL,36.4
mid105,neutral,opening_normal_tangent,ground_mu,0.3,102.6969928275261,OPTIMAL,
mid105,neutral,opening_normal_tangent,ground_mu,1.0,119.69398387031568,OPTIMAL,
mid105,neutral,opening_normal_tangent,arm_sim_cap_scale,0.1,64.36867636944721,OPTIMAL,
mid105,neutral,opening_normal_tangent,arm_sim_cap_scale,0.2,106.98155158961698,OPTIMAL,
mid105,neutral,opening_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
mid105,neutral,opening_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
mid105,neutral,opening_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
mid105,neutral,opening_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
mid105,neutral,opening_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
mid105,neutral,opening_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
mid105,neutral,closing_normal_tangent,ground_mu,0.3,93.75413842273649,OPTIMAL,
mid105,neutral,closing_normal_tangent,ground_mu,1.0,101.58390878022519,OPTIMAL,
mid105,neutral,closing_normal_tangent,arm_sim_cap_scale,0.1,20.857074070892327,OPTIMAL,
mid105,neutral,closing_normal_tangent,arm_sim_cap_scale,0.2,63.4699492910621,OPTIMAL,
mid105,neutral,closing_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
mid105,neutral,closing_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
mid105,neutral,closing_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
mid105,neutral,closing_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
mid105,neutral,closing_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
