workpoint,pose,direction,arm_PD_status,arm_PD_force_N,arm_PD_limiter,whole_PD_status,whole_PD_force_N,whole_PD_limiter,target_at20N_within_limits,target_limit_excess_at20N_rad
high120,pitch+8,handle_axis,OPTIMAL,282.65975958997007,arm_j1,OPTIMAL,75.60596888937604,FL_foot:normal_lower;RL_foot:normal_lower,True,0.0
high120,pitch-8,press_down,OPTIMAL,216.94436515000012,arm_j2,OPTIMAL,146.69599454156636,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
high120,pitch-8,opening_normal_tangent,OPTIMAL,269.73947257898453,arm_j2,OPTIMAL,105.06367129067002,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
high120,pitch-8,closing_normal_tangent,OPTIMAL,233.5954258157845,arm_j2,OPTIMAL,88.55448477858039,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
high120,pitch-8,handle_axis,OPTIMAL,183.64157244423208,arm_j1,OPTIMAL,75.60596229794554,"FL_foot:friction(1,1);FL_foot:friction(-1,-1);RL_foot:normal_lower",True,0.0
left105,neutral,press_down,OPTIMAL,202.2713883045449,arm_j3,OPTIMAL,155.28317988646108,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
left105,neutral,opening_normal_tangent,OPTIMAL,447.9026075884118,arm_j2,OPTIMAL,119.70706393071177,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
left105,neutral,closing_normal_tangent,OPTIMAL,404.3617467151415,arm_j2,OPTIMAL,101.57082871980197,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
left105,neutral,handle_axis,OPTIMAL,246.91358024704974,arm_j1,OPTIMAL,88.50528202216647,FR_foot:normal_lower;RR_foot:normal_lower,True,0.0
left105,roll+8,press_down,OPTIMAL,189.4537839088633,arm_j3,OPTIMAL,154.97012678849714,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
left105,roll+8,opening_normal_tangent,OPTIMAL,385.7260411895985,arm_j2,OPTIMAL,119.46573278826415,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
left105,roll+8,closing_normal_tangent,OPTIMAL,351.28086470514415,arm_j2,OPTIMAL,101.81215986227167,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
left105,roll+8,handle_axis,OPTIMAL,250.8931813388476,arm_j1,OPTIMAL,90.31729069334173,FR_foot:normal_lower;RR_foot:normal_lower,True,0.0
left105,roll-8,press_down,OPTIMAL,228.2205918168423,arm_j3,OPTIMAL,155.7438535619687,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
left105,roll-8,opening_normal_tangent,OPTIMAL,520.9076793517198,arm_j1,OPTIMAL,120.06219507352415,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
left105,roll-8,closing_normal_tangent,OPTIMAL,509.2630413824784,arm_j2,OPTIMAL,101.21569757701742,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
left105,roll-8,handle_axis,OPTIMAL,247.56976787964015,arm_j1,OPTIMAL,86.92521052354739,FR_foot:normal_lower;RR_foot:normal_lower,True,0.0
left105,pitch+8,press_down,OPTIMAL,207.93873828354538,arm_j4,OPTIMAL,157.18333958587374,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
left105,pitch+8,opening_normal_tangent,OPTIMAL,484.5592373212008,arm_j2,OPTIMAL,121.17188799465914,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
left105,pitch+8,closing_normal_tangent,OPTIMAL,446.40384807712616,arm_j2,OPTIMAL,100.10600465586411,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
left105,pitch+8,handle_axis,OPTIMAL,306.90585191204786,arm_j1,OPTIMAL,88.0986960586259,"FR_foot:friction(1,1);FR_foot:friction(-1,-1);RR_foot:normal_lower",True,0.0
left105,pitch-8,press_down,OPTIMAL,210.81389342455628,arm_j3,OPTIMAL,153.9099455925767,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
left105,pitch-8,opening_normal_tangent,OPTIMAL,449.8350731751312,arm_j2,OPTIMAL,118.6484441528145,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
left105,pitch-8,closing_normal_tangent,OPTIMAL,398.10640034070155,arm_j2,OPTIMAL,102.6294484977622,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
left105,pitch-8,handle_axis,OPTIMAL,211.55920353488443,arm_j1,OPTIMAL,88.7800946118967,"RR_foot:friction(1,1);RR_foot:friction(-1,-1);FR_foot:normal_lower",True,0.0
open30,pitch+8,press_down,OPTIMAL,190.55880369746407,arm_j3,OPTIMAL,157.11928083269015,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
open30,pitch+8,opening_normal_tangent,OPTIMAL,381.56483716201865,arm_j2,OPTIMAL,133.18216277365764,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",True,0.0
open30,pitch+8,closing_normal_tangent,OPTIMAL,351.64244527827236,arm_j2,OPTIMAL,108.71294717087059,"RL_foot:friction(1,1);RL_foot:friction(-1,1);FR_foot:friction(-1,1);FR_foot:friction(-1,-1);RR_foot:friction(1,1);RR_foot:friction(-1,1);RR_foot:normal_lower",True,0.0
open30,pitch+8,handle_axis,OPTIMAL,292.8943019348955,arm_j1,OPTIMAL,92.69588812682771,"FL_foot:friction(-1,1);FL_foot:friction(-1,-1);RL_foot:friction(1,-1);RL_foot:friction(-1,-1);RR_foot:friction(1,-1);RR_foot:friction(-1,-1);RL_foot:normal_lower",True,0.0
